method,rows,time_min
FRONT_TO_BACK,60,309.1713019977554
FRONT_TO_BACK,60,288.1399354260614
FRONT_TO_BACK,60,256.14492031175286
FRONT_TO_BACK,60,285.5442644208031
FRONT_TO_BACK,60,287.05564255603076
FRONT_TO_BACK,60,283.30885263219665
FRONT_TO_BACK,60,315.91898068367203
BLOCKS_K2,60,91.97431037403487
BLOCKS_K2,60,90.34783509613345
BLOCKS_K2,60,95.0187547543795
BLOCKS_K2,60,90.29606317425349
BLOCKS_K2,60,92.94870802328413
BLOCKS_K2,60,82.2787037946981
BLOCKS_K2,60,86.82343928887931
BLOCKS_K2,60,81.75369720085045
BLOCKS_K2,60,87.85607617788536
BLOCKS_K2,60,100.04819110113237
